ID,Display name,Ox,Oy
55532,5,545469.2,164026.9
43309,5,544810.2,170451.9
43042,5,540740.8,169485.1
40721,5,542047.4,165559.6
35644,5,545463.3,168895.9
35026,5,537321.2,170693.1
33729,5,547975.7,164189.5
33059,5,547599.8,166923.0
29837,5,542430.9,158481.9
28977,5,546825.4,166809.6
65427,4,537471.8,169150.7
65423,4,537494.8,169108.6
64030,4,537847.6,168794.4
63664,4,537909.0,168623.7
63474,4,547190.7,167802.2
63358,4,547156.0,167742.1
61866,4,541774.7,168394.7
60088,4,539555.2,167984.5
58750,4,546653.4,166732.1
57228,4,542154.1,167415.4
56520,4,546698.1,166700.2
56170,4,542235.3,166514.3
55805,4,542221.5,166517.4
55774,4,542223.2,166514.3
53842,4,542771.1,167332.3
52829,4,547184.2,165207.4
52346,4,545323.7,168411.9
49383,4,543352.2,168827.5
48079,4,541263.9,158437.9
45082,4,546527.5,169549.5
44160,4,541645.2,158420.2
40316,4,538441.0,169142.2
40225,4,540086.4,167544.4
38555,4,543404.5,168814.2
38187,4,539818.7,167590.1
25756,4,544157.8,165853.7
18956,4,545600.7,164266.0
64639,3,545419.2,164057.4
64604,3,544291.4,166909.4
64601,3,535228.9,170317.0
64042,3,540158.3,169005.5
63708,3,540125.7,169607.3
61023,3,536732.9,168189.8
59974,3,534761.1,169478.2
59688,3,534755.5,169485.9
59308,3,546183.2,167302.4
59085,3,536282.2,171187.4
58680,3,544142.3,164254.0
58622,3,544579.4,159743.0
58541,3,547087.3,167621.5
58495,3,547207.7,168351.7
58474,3,539090.9,165213.7
58091,3,534784.1,170994.3
57815,3,535688.4,170856.0
56475,3,540409.5,169225.0
55140,3,540862.9,171056.3
54618,3,540062.3,169231.8
53900,3,547239.9,164967.1
53718,3,547338.4,165504.2
52695,3,539508.4,166564.9
52433,3,539336.0,168220.0
52272,3,539810.6,168796.4
52231,3,539887.6,165698.6
52047,3,535797.0,169309.4
51884,3,535461.8,171090.5
51702,3,538675.7,168424.8
51390,3,538357.6,168946.1
50998,3,545860.9,165689.3
50911,3,542332.4,171724.9
50886,3,537189.1,167966.6
50869,3,538611.3,168161.1
50802,3,541808.1,168625.5
50644,3,544228.5,164305.9
50513,3,539522.2,166629.1
50425,3,540648.1,166147.1
50376,3,539209.0,165983.4
50372,3,539117.9,165891.1
50286,3,540595.8,169320.9
50253,3,546269.3,165020.5
50211,3,539282.4,166928.9
50200,3,533810.4,170302.0
50153,3,539774.1,168687.0
49707,3,542666.0,171692.1
49697,3,536336.3,169007.6
49669,3,535718.6,169806.8
49573,3,547002.9,170009.4
49546,3,547205.9,169556.5
49542,3,547346.6,169087.5
49530,3,546205.2,166473.7
49482,3,535230.5,169054.3
49465,3,545899.4,165343.4
49408,3,544136.6,165547.0
49348,3,545421.5,165573.3
49287,3,540023.1,166505.8
49149,3,536288.7,168996.2
49126,3,536540.1,169120.9
49112,3,537941.5,165160.0
49070,3,542955.7,171239.8
